"Route","Year","Publication Type","york","Open Access","Number of Publications"
"other","2017","data paper","TRUE","Gold",0
"TA","2017","data paper","TRUE","Gold",0
"YOAF","2017","data paper","TRUE","Gold",0
"other","2018","data paper","TRUE","Gold",0
"TA","2018","data paper","TRUE","Gold",0
"YOAF","2018","data paper","TRUE","Gold",0
"other","2019","data paper","TRUE","Gold",0
"TA","2019","data paper","TRUE","Gold",0
"YOAF","2019","data paper","TRUE","Gold",2
"other","2020","data paper","TRUE","Gold",0
"TA","2020","data paper","TRUE","Gold",0
"YOAF","2020","data paper","TRUE","Gold",0
"other","2021","data paper","TRUE","Gold",0
"TA","2021","data paper","TRUE","Gold",0
"YOAF","2021","data paper","TRUE","Gold",0
"other","2022","data paper","TRUE","Gold",0
"TA","2022","data paper","TRUE","Gold",0
"YOAF","2022","data paper","TRUE","Gold",0
"other","2017","editorial","TRUE","Gold",2
"TA","2017","editorial","TRUE","Gold",0
"YOAF","2017","editorial","TRUE","Gold",0
"other","2018","editorial","TRUE","Gold",0
"TA","2018","editorial","TRUE","Gold",0
"YOAF","2018","editorial","TRUE","Gold",0
"other","2019","editorial","TRUE","Gold",1
"TA","2019","editorial","TRUE","Gold",0
"YOAF","2019","editorial","TRUE","Gold",0
"other","2020","editorial","TRUE","Gold",9
"TA","2020","editorial","TRUE","Gold",0
"YOAF","2020","editorial","TRUE","Gold",0
"other","2021","editorial","TRUE","Gold",4
"TA","2021","editorial","TRUE","Gold",0
"YOAF","2021","editorial","TRUE","Gold",0
"other","2022","editorial","TRUE","Gold",11
"TA","2022","editorial","TRUE","Gold",0
"YOAF","2022","editorial","TRUE","Gold",0
"other","2017","letter","TRUE","Gold",4
"TA","2017","letter","TRUE","Gold",0
"YOAF","2017","letter","TRUE","Gold",0
"other","2018","letter","TRUE","Gold",1
"TA","2018","letter","TRUE","Gold",0
"YOAF","2018","letter","TRUE","Gold",0
"other","2019","letter","TRUE","Gold",1
"TA","2019","letter","TRUE","Gold",0
"YOAF","2019","letter","TRUE","Gold",0
"other","2020","letter","TRUE","Gold",2
"TA","2020","letter","TRUE","Gold",0
"YOAF","2020","letter","TRUE","Gold",0
"other","2021","letter","TRUE","Gold",1
"TA","2021","letter","TRUE","Gold",0
"YOAF","2021","letter","TRUE","Gold",1
"other","2022","letter","TRUE","Gold",2
"TA","2022","letter","TRUE","Gold",0
"YOAF","2022","letter","TRUE","Gold",0
"other","2017","note","TRUE","Gold",3
"TA","2017","note","TRUE","Gold",0
"YOAF","2017","note","TRUE","Gold",0
"other","2018","note","TRUE","Gold",3
"TA","2018","note","TRUE","Gold",0
"YOAF","2018","note","TRUE","Gold",0
"other","2019","note","TRUE","Gold",3
"TA","2019","note","TRUE","Gold",0
"YOAF","2019","note","TRUE","Gold",0
"other","2020","note","TRUE","Gold",5
"TA","2020","note","TRUE","Gold",0
"YOAF","2020","note","TRUE","Gold",0
"other","2021","note","TRUE","Gold",3
"TA","2021","note","TRUE","Gold",0
"YOAF","2021","note","TRUE","Gold",2
"other","2022","note","TRUE","Gold",2
"TA","2022","note","TRUE","Gold",0
"YOAF","2022","note","TRUE","Gold",0
"other","2017","review","TRUE","Gold",12
"TA","2017","review","TRUE","Gold",0
"YOAF","2017","review","TRUE","Gold",5
"other","2018","review","TRUE","Gold",12
"TA","2018","review","TRUE","Gold",0
"YOAF","2018","review","TRUE","Gold",1
"other","2019","review","TRUE","Gold",17
"TA","2019","review","TRUE","Gold",0
"YOAF","2019","review","TRUE","Gold",4
"other","2020","review","TRUE","Gold",28
"TA","2020","review","TRUE","Gold",0
"YOAF","2020","review","TRUE","Gold",6
"other","2021","review","TRUE","Gold",18
"TA","2021","review","TRUE","Gold",5
"YOAF","2021","review","TRUE","Gold",6
"other","2022","review","TRUE","Gold",35
"TA","2022","review","TRUE","Gold",3
"YOAF","2022","review","TRUE","Gold",3
"other","2017","short survey","TRUE","Gold",0
"TA","2017","short survey","TRUE","Gold",0
"YOAF","2017","short survey","TRUE","Gold",1
"other","2018","short survey","TRUE","Gold",0
"TA","2018","short survey","TRUE","Gold",0
"YOAF","2018","short survey","TRUE","Gold",1
"other","2019","short survey","TRUE","Gold",0
"TA","2019","short survey","TRUE","Gold",0
"YOAF","2019","short survey","TRUE","Gold",0
"other","2020","short survey","TRUE","Gold",0
"TA","2020","short survey","TRUE","Gold",0
"YOAF","2020","short survey","TRUE","Gold",0
"other","2021","short survey","TRUE","Gold",0
"TA","2021","short survey","TRUE","Gold",0
"YOAF","2021","short survey","TRUE","Gold",0
"other","2022","short survey","TRUE","Gold",0
"TA","2022","short survey","TRUE","Gold",0
"YOAF","2022","short survey","TRUE","Gold",0
"other","2017","article","FALSE","Green",579
"TA","2017","article","FALSE","Green",0
"YOAF","2017","article","FALSE","Green",0
"other","2018","article","FALSE","Green",618
"TA","2018","article","FALSE","Green",0
"YOAF","2018","article","FALSE","Green",0
"other","2019","article","FALSE","Green",651
"TA","2019","article","FALSE","Green",0
"YOAF","2019","article","FALSE","Green",0
"other","2020","article","FALSE","Green",600
"TA","2020","article","FALSE","Green",0
"YOAF","2020","article","FALSE","Green",0
"other","2021","article","FALSE","Green",542
"TA","2021","article","FALSE","Green",0
"YOAF","2021","article","FALSE","Green",0
"other","2022","article","FALSE","Green",369
"TA","2022","article","FALSE","Green",0
"YOAF","2022","article","FALSE","Green",0
"other","2017","book","FALSE","Green",5
"TA","2017","book","FALSE","Green",0
"YOAF","2017","book","FALSE","Green",0
"other","2018","book","FALSE","Green",9
"TA","2018","book","FALSE","Green",0
"YOAF","2018","book","FALSE","Green",0
"other","2019","book","FALSE","Green",10
"TA","2019","book","FALSE","Green",0
"YOAF","2019","book","FALSE","Green",0
"other","2020","book","FALSE","Green",4
"TA","2020","book","FALSE","Green",0
"YOAF","2020","book","FALSE","Green",0
"other","2021","book","FALSE","Green",4
"TA","2021","book","FALSE","Green",0
"YOAF","2021","book","FALSE","Green",0
"other","2022","book","FALSE","Green",3
"TA","2022","book","FALSE","Green",0
"YOAF","2022","book","FALSE","Green",0
"other","2017","book chapter","FALSE","Green",17
"TA","2017","book chapter","FALSE","Green",0
"YOAF","2017","book chapter","FALSE","Green",0
"other","2018","book chapter","FALSE","Green",31
"TA","2018","book chapter","FALSE","Green",0
"YOAF","2018","book chapter","FALSE","Green",0
"other","2019","book chapter","FALSE","Green",15
"TA","2019","book chapter","FALSE","Green",0
"YOAF","2019","book chapter","FALSE","Green",0
"other","2020","book chapter","FALSE","Green",10
"TA","2020","book chapter","FALSE","Green",0
"YOAF","2020","book chapter","FALSE","Green",0
"other","2021","book chapter","FALSE","Green",4
"TA","2021","book chapter","FALSE","Green",0
"YOAF","2021","book chapter","FALSE","Green",0
"other","2022","book chapter","FALSE","Green",4
"TA","2022","book chapter","FALSE","Green",0
"YOAF","2022","book chapter","FALSE","Green",0
"other","2017","conference paper","FALSE","Green",104
"TA","2017","conference paper","FALSE","Green",0
"YOAF","2017","conference paper","FALSE","Green",0
"other","2018","conference paper","FALSE","Green",106
"TA","2018","conference paper","FALSE","Green",0
"YOAF","2018","conference paper","FALSE","Green",0
"other","2019","conference paper","FALSE","Green",117
"TA","2019","conference paper","FALSE","Green",0
"YOAF","2019","conference paper","FALSE","Green",0
"other","2020","conference paper","FALSE","Green",101
"TA","2020","conference paper","FALSE","Green",0
"YOAF","2020","conference paper","FALSE","Green",0
"other","2021","conference paper","FALSE","Green",72
"TA","2021","conference paper","FALSE","Green",0
"YOAF","2021","conference paper","FALSE","Green",0
"other","2022","conference paper","FALSE","Green",60
"TA","2022","conference paper","FALSE","Green",0
"YOAF","2022","conference paper","FALSE","Green",0
"other","2017","data paper","FALSE","Green",0
"TA","2017","data paper","FALSE","Green",0
"YOAF","2017","data paper","FALSE","Green",0
"other","2018","data paper","FALSE","Green",0
"TA","2018","data paper","FALSE","Green",0
"YOAF","2018","data paper","FALSE","Green",0
"other","2019","data paper","FALSE","Green",0
"TA","2019","data paper","FALSE","Green",0
"YOAF","2019","data paper","FALSE","Green",0
"other","2020","data paper","FALSE","Green",0
"TA","2020","data paper","FALSE","Green",0
"YOAF","2020","data paper","FALSE","Green",0
"other","2021","data paper","FALSE","Green",1
"TA","2021","data paper","FALSE","Green",0
"YOAF","2021","data paper","FALSE","Green",0
"other","2022","data paper","FALSE","Green",0
"TA","2022","data paper","FALSE","Green",0
"YOAF","2022","data paper","FALSE","Green",0
"other","2017","editorial","FALSE","Green",7
"TA","2017","editorial","FALSE","Green",0
"YOAF","2017","editorial","FALSE","Green",0
"other","2018","editorial","FALSE","Green",13
"TA","2018","editorial","FALSE","Green",0
"YOAF","2018","editorial","FALSE","Green",0
"other","2019","editorial","FALSE","Green",13
"TA","2019","editorial","FALSE","Green",0
"YOAF","2019","editorial","FALSE","Green",0
"other","2020","editorial","FALSE","Green",11
"TA","2020","editorial","FALSE","Green",0
"YOAF","2020","editorial","FALSE","Green",0
"other","2021","editorial","FALSE","Green",9
"TA","2021","editorial","FALSE","Green",0
"YOAF","2021","editorial","FALSE","Green",0
"other","2022","editorial","FALSE","Green",6
"TA","2022","editorial","FALSE","Green",0
"YOAF","2022","editorial","FALSE","Green",0
"other","2017","letter","FALSE","Green",11
"TA","2017","letter","FALSE","Green",0
"YOAF","2017","letter","FALSE","Green",0
"other","2018","letter","FALSE","Green",10
"TA","2018","letter","FALSE","Green",0
"YOAF","2018","letter","FALSE","Green",0
"other","2019","letter","FALSE","Green",18
"TA","2019","letter","FALSE","Green",0
"YOAF","2019","letter","FALSE","Green",0
"other","2020","letter","FALSE","Green",14
"TA","2020","letter","FALSE","Green",0
"YOAF","2020","letter","FALSE","Green",0
"other","2021","letter","FALSE","Green",10
"TA","2021","letter","FALSE","Green",0
"YOAF","2021","letter","FALSE","Green",0
"other","2022","letter","FALSE","Green",7
"TA","2022","letter","FALSE","Green",0
"YOAF","2022","letter","FALSE","Green",0
"other","2017","note","FALSE","Green",10
"TA","2017","note","FALSE","Green",0
"YOAF","2017","note","FALSE","Green",0
"other","2018","note","FALSE","Green",10
"TA","2018","note","FALSE","Green",0
"YOAF","2018","note","FALSE","Green",0
"other","2019","note","FALSE","Green",11
"TA","2019","note","FALSE","Green",0
"YOAF","2019","note","FALSE","Green",0
"other","2020","note","FALSE","Green",16
"TA","2020","note","FALSE","Green",0
"YOAF","2020","note","FALSE","Green",0
"other","2021","note","FALSE","Green",8
"TA","2021","note","FALSE","Green",0
"YOAF","2021","note","FALSE","Green",0
"other","2022","note","FALSE","Green",11
"TA","2022","note","FALSE","Green",0
"YOAF","2022","note","FALSE","Green",0
"other","2017","review","FALSE","Green",61
"TA","2017","review","FALSE","Green",0
"YOAF","2017","review","FALSE","Green",0
"other","2018","review","FALSE","Green",71
"TA","2018","review","FALSE","Green",0
"YOAF","2018","review","FALSE","Green",0
"other","2019","review","FALSE","Green",74
"TA","2019","review","FALSE","Green",0
"YOAF","2019","review","FALSE","Green",0
"other","2020","review","FALSE","Green",82
"TA","2020","review","FALSE","Green",0
"YOAF","2020","review","FALSE","Green",0
"other","2021","review","FALSE","Green",88
"TA","2021","review","FALSE","Green",0
"YOAF","2021","review","FALSE","Green",0
"other","2022","review","FALSE","Green",57
"TA","2022","review","FALSE","Green",0
"YOAF","2022","review","FALSE","Green",0
"other","2017","short survey","FALSE","Green",0
"TA","2017","short survey","FALSE","Green",0
"YOAF","2017","short survey","FALSE","Green",0
"other","2018","short survey","FALSE","Green",2
"TA","2018","short survey","FALSE","Green",0
"YOAF","2018","short survey","FALSE","Green",0
"other","2019","short survey","FALSE","Green",3
"TA","2019","short survey","FALSE","Green",0
"YOAF","2019","short survey","FALSE","Green",0
"other","2020","short survey","FALSE","Green",1
"TA","2020","short survey","FALSE","Green",0
"YOAF","2020","short survey","FALSE","Green",0
"other","2021","short survey","FALSE","Green",0
"TA","2021","short survey","FALSE","Green",0
"YOAF","2021","short survey","FALSE","Green",0
"other","2022","short survey","FALSE","Green",0
"TA","2022","short survey","FALSE","Green",0
"YOAF","2022","short survey","FALSE","Green",0
"other","2017","article","TRUE","Green",350
"TA","2017","article","TRUE","Green",0
"YOAF","2017","article","TRUE","Green",0
"other","2018","article","TRUE","Green",374
"TA","2018","article","TRUE","Green",0
"YOAF","2018","article","TRUE","Green",0
"other","2019","article","TRUE","Green",407
"TA","2019","article","TRUE","Green",0
"YOAF","2019","article","TRUE","Green",0
"other","2020","article","TRUE","Green",321
"TA","2020","article","TRUE","Green",0
"YOAF","2020","article","TRUE","Green",0
"other","2021","article","TRUE","Green",282
"TA","2021","article","TRUE","Green",0
"YOAF","2021","article","TRUE","Green",0
"other","2022","article","TRUE","Green",170
"TA","2022","article","TRUE","Green",0
"YOAF","2022","article","TRUE","Green",0
"other","2017","book","TRUE","Green",0
"TA","2017","book","TRUE","Green",0
"YOAF","2017","book","TRUE","Green",0
"other","2018","book","TRUE","Green",1
"TA","2018","book","TRUE","Green",0
"YOAF","2018","book","TRUE","Green",0
"other","2019","book","TRUE","Green",1
"TA","2019","book","TRUE","Green",0
"YOAF","2019","book","TRUE","Green",0
"other","2020","book","TRUE","Green",0
"TA","2020","book","TRUE","Green",0
"YOAF","2020","book","TRUE","Green",0
"other","2021","book","TRUE","Green",2
"TA","2021","book","TRUE","Green",0
"YOAF","2021","book","TRUE","Green",0
"other","2022","book","TRUE","Green",0
"TA","2022","book","TRUE","Green",0
"YOAF","2022","book","TRUE","Green",0
"other","2017","book chapter","TRUE","Green",2
"TA","2017","book chapter","TRUE","Green",0
"YOAF","2017","book chapter","TRUE","Green",0
"other","2018","book chapter","TRUE","Green",9
"TA","2018","book chapter","TRUE","Green",0
"YOAF","2018","book chapter","TRUE","Green",0
"other","2019","book chapter","TRUE","Green",5
"TA","2019","book chapter","TRUE","Green",0
"YOAF","2019","book chapter","TRUE","Green",0
"other","2020","book chapter","TRUE","Green",3
"TA","2020","book chapter","TRUE","Green",0
"YOAF","2020","book chapter","TRUE","Green",0
"other","2021","book chapter","TRUE","Green",4
"TA","2021","book chapter","TRUE","Green",0
"YOAF","2021","book chapter","TRUE","Green",0
"other","2022","book chapter","TRUE","Green",8
"TA","2022","book chapter","TRUE","Green",0
"YOAF","2022","book chapter","TRUE","Green",0
"other","2017","conference paper","TRUE","Green",30
"TA","2017","conference paper","TRUE","Green",0
"YOAF","2017","conference paper","TRUE","Green",0
"other","2018","conference paper","TRUE","Green",36
"TA","2018","conference paper","TRUE","Green",0
"YOAF","2018","conference paper","TRUE","Green",0
"other","2019","conference paper","TRUE","Green",26
"TA","2019","conference paper","TRUE","Green",0
"YOAF","2019","conference paper","TRUE","Green",0
"other","2020","conference paper","TRUE","Green",24
"TA","2020","conference paper","TRUE","Green",0
"YOAF","2020","conference paper","TRUE","Green",0
"other","2021","conference paper","TRUE","Green",19
"TA","2021","conference paper","TRUE","Green",0
"YOAF","2021","conference paper","TRUE","Green",0
"other","2022","conference paper","TRUE","Green",18
"TA","2022","conference paper","TRUE","Green",0
"YOAF","2022","conference paper","TRUE","Green",0
"other","2017","data paper","TRUE","Green",0
"TA","2017","data paper","TRUE","Green",0
"YOAF","2017","data paper","TRUE","Green",0
"other","2018","data paper","TRUE","Green",0
"TA","2018","data paper","TRUE","Green",0
